"Input_Sample" "astrocytes" "endothelial" "microglia" "neurons" "fetal_quiescent" "fetal_replicating" "oligodendrocytes" "hybrid" "OPC" "P.value" "Pearson" "Correlation" "RMSE"
"1" "GTEX.11ZU8.0011.R4a.SM.5BC6Y" 0.541249343039796 0.0254532336419963 0 0.156878440219829 0.0483739806275552 0 0.162816590959503 0 0.0652284115113206 0 0.561841195464216 0.886330392280054 NA
"2" "GTEX.11ZVC.0011.R4a.SM.5BC6Z" 0.410772486718023 0.0863515508646447 0 0.120302155176445 0.0252616861383745 0 0.284073737426706 0 0.0732383836758065 0 0.609306877489086 0.826583989603591 NA
"3" "GTEX.12WSA.0011.R4a.SM.57WB7" 0.253234413868935 0.0486564442793655 0 0.214455514362696 0.0157243924216706 0 0.455375937877951 0 0.0125532971893816 0 0.625571846149068 0.848101284738087 NA
"4" "GTEX.12WSD.0011.R4b.SM.5LZUA" 0.333442805827883 0.0652065085052285 0 0.332793500274467 0.0355972434099341 0 0.195381744526925 0 0.0375781974555625 0 0.54929053853098 0.843020463343367 NA
"5" "GTEX.12WSF.0011.R4b.SM.5HL88" 0.189878180199388 0.0939244160778508 0 0.35242152827724 0.0491973716275788 0 0.28077068107182 0 0.0338078227461219 0 0.552701103332203 0.838381461294093 NA
"6" "GTEX.12WSH.0011.R4a.SM.5GU6K" 0.201768355563174 0.0307604779374667 0 0.306472972197153 0.0535370211821722 0 0.32602021356288 0 0.0814409595571532 0 0.57074640839702 0.835252141167124 NA
"7" "GTEX.12ZZW.0011.R4a.SM.5DUX9" 0.550456105475402 0.0925933979883055 0 0.160486112679423 0.0178245388366084 0 0.157569728034765 0 0.0210701169854953 0 0.549935521804585 0.900264223599405 NA
"8" "GTEX.12ZZZ.0011.R4b.SM.5DUV7" 0.133288257018539 0.20206529864726 0 0.237158088043779 0.0240439560606865 0 0.292940337898655 0 0.110504062331081 0.01 0.439414885097685 0.918969679610007 NA
"9" "GTEX.13112.0011.R4b.SM.5DUXL" 0.226699846417831 0.132696060669314 0 0.355626532258628 0.0483925497629646 0 0.223920527284823 0 0.0126644836064399 0 0.546325973340405 0.838858318617211 NA
"10" "GTEX.1313W.0011.R4b.SM.5KLZV" 0.331626413581033 0.0758380864705202 0 0.406935561934461 0.0415746429069875 0 0.12820383827475 0 0.0158214568322487 0 0.525617369633644 0.85423216793428 NA
"11" "GTEX.131XH.0011.R4b.SM.5DUWB" 0.198641402904028 0.080298216020535 0 0.371704021426177 0.0375072919678927 0 0.311849067681367 0 0 0 0.631554490769563 0.779007330930881 NA
"12" "GTEX.131YS.0011.R4a.SM.5DUVL" 0.377346517329838 0.0412222351841773 0 0.427007260852495 0.0427364796466766 0 0.111687506986813 0 0 0 0.660675745552933 0.75238308560153 NA
"13" "GTEX.1399T.0011.R4b.SM.5DUVX" 0.291317759365595 0.117444048920057 0 0.409434383342714 0.0541819871885248 0 0.120536216767327 0 0.00708560441578139 0 0.547879448791526 0.836670346868086 NA
"14" "GTEX.139T8.0011.R4a.SM.5HL54" 0.289568525190743 0.140481271827944 0.0127174935154005 0.215365288150678 0.08352009634425 0 0.151687086967268 0 0.106660238003717 0.01 0.461716389437021 0.892911308509669 NA
"15" "GTEX.13CZV.0011.R4b.SM.5J2NY" 0.384826257580653 0.0884060300632301 0 0.260825512619519 0.0266935590107567 0 0.153733557867101 0 0.0855150828587406 0.01 0.451607137042529 0.919949298069591 NA
"16" "GTEX.13FLV.0011.R4a.SM.5LZYU" 0.565042503212889 0.0832308351976208 0 0.172559981184492 0.0334588120575956 0 0.123117037298595 0 0.0225908310488076 0 0.598111914054423 0.852417556881336 NA
"17" "GTEX.13JVG.0011.R4a.SM.5MR4C" 0.264439095112003 0.21813093114862 0 0.189643164352587 0 0 0.254996255888012 0 0.0727905534987783 0.01 0.471385180064981 0.902576758175595 NA
"18" "GTEX.13N1W.0011.R4a.SM.5MR52" 0.229863987488945 0.122555232501419 0.0407528608718172 0.442356439371723 0.0209955233865707 0 0.143475956379525 0 0 0.01 0.425494820067183 0.90803435758983 NA
"19" "GTEX.13N2G.0011.R4b.SM.5MR54" 0.248505272437072 0.086052908905943 0.0572312213593992 0.306496270026072 0.070761873577896 0 0.199566772741423 0 0.0313856809521944 0 0.598905776531271 0.802430997739436 NA
"20" "GTEX.13NYS.0011.R4b.SM.5MR3O" 0.404391250052659 0.156109568290387 0.0567681889845659 0.186481951246627 0.0600939204552481 0 0.136155120970513 0 0 0 0.538143731259124 0.855062519754044 NA
"21" "GTEX.13O3O.0011.R4b.SM.5KM3F" 0.298456472948328 0.0952599819143857 0 0.422416045925291 0.0223072744194662 0 0.16156022479253 0 0 0.01 0.50680899402703 0.866317392853316 NA
"22" "GTEX.13O3Q.0011.R4a.SM.5P9H2" 0.23833227124921 0.0801126533159608 0 0.47356854145484 0.0582475744202457 0 0.149738959559743 0 0 0.01 0.418961628629961 0.91401344626793 NA
"23" "GTEX.13OVH.0011.R4a.SM.5KM3W" 0.295575767129166 0.0822470263078996 0 0.216267406187331 0.0370607860607623 0 0.297289872656554 0 0.0715591416582876 0.01 0.491581019890781 0.905900496107398 NA
"24" "GTEX.13OVJ.0011.R4b.SM.5P9H5" 0.552840577541189 0.150307361437313 0.0164719213737203 0.18153248156963 0.011357833870433 0 0.0797835206361994 0 0.00770630357151561 0 0.811908478199586 0.590897659800993 NA
"25" "GTEX.13OVL.0011.R4b.SM.5L3HV" 0.273669611536201 0.124044552572327 0 0.251261967148103 0.0308679763658141 0 0.232398974828886 0 0.087756917548669 0.01 0.481702513330628 0.890172956209686 NA
"26" "GTEX.13OW5.0011.R4b.SM.5L3HS" 0.476258814818448 0.0501887826518175 0.0186220678816097 0.302715749377192 0.0221531591900412 0 0.075164358782684 0 0.0548970672982071 0 0.714112392758701 0.703704581550784 NA
"27" "GTEX.13OW6.0011.R4a.SM.5O9DX" 0.209233804226049 0.164501400715819 0 0.292636107151993 0.0361675523172217 0 0.272832221182284 0 0.0246289144066328 0.01 0.469406690790069 0.898891782273661 NA
"28" "GTEX.13OW7.0011.R4b.SM.5O9CX" 0.468458323056421 0.12102701933739 0 0.197232779697733 0.0226229952638018 0 0.139474288159048 0 0.0511845944856073 0 0.530763792074061 0.880749342927091 NA
"29" "GTEX.13PVQ.0011.R4a.SM.5O9CT" 0.19025354278688 0.144111203342543 0 0.208341799185717 0.00285452691077306 0 0.285804034809295 0 0.168634892964792 0 0.527858725413447 0.859670575727046 NA
