"Bcells" "CAFs" "CD4_Tcells" "CD8_Tcells" "Endothelial" "Macrophages" "NKcells" "otherCells"
"GTEX.11ZU8.0011.R4a.SM.5BC6Y" 0.610278232169504 0.00310671520957989 2.0710573579302e-08 9.09478653462859e-08 0.0285636034578835 0.000601070429719016 0.280596015325981 0.0768542517488928
"GTEX.11ZVC.0011.R4a.SM.5BC6Z" 0.47222331481446 0.00430731665570166 1.94487622765872e-08 8.64728469386325e-10 0.0978741501244456 0.00147385481384259 0.23841426633322 0.185707076944839
"GTEX.12WSA.0011.R4a.SM.57WB7" 0.355384556221168 0.004537060892404 9.96565235683019e-08 4.19242564200704e-06 0.115050574230932 0.00134788549850057 0.272849552517839 0.250826078556991
"GTEX.12WSD.0011.R4b.SM.5LZUA" 0.7164031938262 0.00610844250683245 1.44962494162914e-06 0.0265448968626724 0.0601816051933162 0.000859841553675743 0.189899833966717 7.36465644858555e-07
"GTEX.12WSF.0011.R4b.SM.5HL88" 0.770692706637549 0.00573462417924627 2.506842598169e-05 4.14460371139849e-05 0.0791930885194742 0.00332326123235884 0.140977335717853 1.24692504227561e-05
"GTEX.12WSH.0011.R4a.SM.5GU6K" 0.831837189322599 0.00174875375240072 3.97746493445697e-08 4.16918183581319e-09 0.00875989546009657 0.00156404126651689 0.156089565915351 5.10339204779742e-07
"GTEX.12ZZW.0011.R4a.SM.5DUX9" 0.533966434353632 0.00326184731941715 2.26755494214638e-08 1.91701651533932e-07 0.0828512559662246 0.000250611367524942 0.253716633347418 0.125953003268582
"GTEX.12ZZZ.0011.R4b.SM.5DUV7" 0.399112905434233 0.00450159936012136 1.03289933729178e-06 4.05363696886183e-07 0.142453674844804 0.000540612017771589 0.236590667338298 0.216799102741739
"GTEX.13112.0011.R4b.SM.5DUXL" 0.698133548757567 0.00546905937519651 1.04166688444456e-07 1.01750209492483e-07 0.116677582537388 0.000503453510562373 0.179215884169833 2.65732555131422e-07
"GTEX.1313W.0011.R4b.SM.5KLZV" 0.70896131624807 0.00548211958583858 5.12975220861027e-05 2.07761454137017e-05 0.0561654477431397 0.00120951120065335 0.228103106773893 6.42478090547551e-06
"GTEX.131XH.0011.R4b.SM.5DUWB" 0.498995523850491 0.00498661308695901 7.67949839760444e-07 0.256556984835717 0.0414868682550681 1.52987609385498e-06 0.19797153165819 1.8048764222067e-07
"GTEX.131YS.0011.R4a.SM.5DUVL" 0.688285915254691 0.00587537507131067 1.60678620185171e-07 1.32205150174175e-07 0.0429703131612997 0.00158523911189879 0.261255806164377 2.70583526524618e-05
"GTEX.1399T.0011.R4b.SM.5DUVX" 0.410927978420626 0.0052578750098693 0.000950805855666406 0.1799920342599 0.075127269707682 0.00209883411432243 0.325645114843136 8.77887970717628e-08
