sampleID	B_cell	T_cell.CD4	T_cell.CD8	Neutrophil	Macrophage	DC
TCGA.32.2615.01A.01R.1850.01	0	0.43252509	0.396827172	0.036824607	0	0.94720808
TCGA.26.5133.01A.01R.1850.01	0.187065659	0	0.104261439	0.069903085	0.176868837	0.243344191
TCGA.76.4925.01A.01R.1850.01	0.144045429	0.062976449	0.199019302	0.03779087	0.310780008	0.27782424
TCGA.28.5218.01A.01R.1850.01	0.360129573	0	0.261489395	0.155124921	0.251863027	0.491040125
TCGA.02.2486.01A.01R.1849.01	0	0.657960387	0.124311459	0.067132605	0	0.957030812
TCGA.28.2510.01A.01R.1850.01	0.346262064	0	0.157648519	0.059353285	0.049779331	0.246421983
TCGA.12.0618.01A.01R.1849.01	0.135575662	0	0.271800147	0.070227634	0.167865515	0.25770816
TCGA.12.5295.01A.01R.1849.01	0.176200171	0.001349943	0.291382774	0.086448038	0.135099906	0.258823169
TCGA.14.0817.01A.01R.1849.01	0.428063044	0.028472527	0.210557812	0.231258066	0.041456079	0.347100602
TCGA.06.0168.01A.01R.1849.01	0.000292834	0.144533483	0.072575883	0.035062427	0	0.028648958
TCGA.19.2619.01A.01R.1850.01	0	0.213911041	0.270848964	0.076207011	0.145379721	0.467327953
TCGA.06.0187.01A.01R.1849.01	0	0.531389154	0.046752245	0.136626699	0.006118976	0.541119094
TCGA.06.0139.01A.01R.1849.01	0.175638164	0	0.16064382	0.152056497	0.223755978	0.016416469
TCGA.06.0156.01A.03R.1849.01	0	0.124972781	0.314973154	0.224412768	0.038133432	0.372569813
TCGA.06.2567.01A.01R.1849.01	0.104666149	0.150109726	0.283725845	0.330685655	0	0.596094402
TCGA.28.1753.01A.01R.1850.01	0.311036738	0	0.258330852	0	0.344334568	0.00600109
TCGA.06.2569.01A.01R.1849.01	0.114133788	0	0	0.119845323	0.080460826	0.170170073
TCGA.28.2514.01A.02R.1850.01	0.205105656	0	0.243728918	0.095841089	0.06797136	0.340552619
TCGA.06.5408.01A.01R.1849.01	0	0.259023497	0.196505666	0.064855632	0	0.612505715
TCGA.76.4929.01A.01R.1850.01	0.289458388	0	0.206932749	0.010989129	0.034553888	0.533393991
TCGA.12.3652.01A.01R.1849.01	0.085185497	0	0.213286729	0.021951214	0.085569801	0.043871345
TCGA.06.5418.01A.01R.1849.01	0	0.539619291	0.081657512	0.007997309	0	0.689052481
TCGA.06.2557.01A.01R.1849.01	0.71925522	0	0.380795913	0.169470947	0.3183807	0.478708247
TCGA.06.0125.01A.01R.1849.01	0	0.101734142	0.300180097	0.083354441	0.029142311	0.535820526
TCGA.28.2513.01A.01R.1850.01	0	0.31550928	0.271635611	0.146496468	0.121979753	0.56315293
TCGA.06.0219.01A.01R.1849.01	0.155970873	0	0.211600976	0.133700013	0.025016751	0.291539061
TCGA.06.0132.01A.02R.1849.01	0.582742483	0	0.195613226	0.141730864	0.180450426	0.518626577
TCGA.12.0821.01A.01R.1849.01	0.051586786	0.031030031	0.233326743	0.051015778	0.070831512	0.276015663
TCGA.32.2632.01A.01R.1850.01	0.473908918	0	0.182921839	0.06232919	0	0.69638119
TCGA.06.0158.01A.01R.1849.01	0	0.54235828	0.21108556	0.108127233	0	0.753219355
TCGA.06.2559.01A.01R.1849.01	0	0.075566068	0.283128102	0.130842464	0.120558214	0.241932957
TCGA.06.0878.01A.01R.1849.01	0	0.08869673	0.146397201	0.09698739	0.019622878	0.270188295
TCGA.12.5299.01A.02R.1849.01	0	0.407364493	0.182506147	0.040411333	0.092607464	0.60468513
TCGA.02.0055.01A.01R.1849.01	0.101961163	0	0.520270093	0.392256907	0.144009772	0.616362862
TCGA.06.5413.01A.01R.1849.01	0.325273833	0	0.27513721	0.162986543	0.116330715	0.391490779
TCGA.06.2558.01A.01R.1849.01	0.269879374	0	0.146239821	0.133307226	0.051194314	0.210527084
TCGA.28.2509.01A.01R.1850.01	0	0.459253346	0.120836802	0	0	0.769323417
TCGA.06.5856.01A.01R.1849.01	0.255044328	0	0.243387016	0.083208464	0.17985026	0.375509334
TCGA.06.5417.01A.01R.1849.01	0.01613864	0	0.012550095	0	0	0
TCGA.28.5213.01A.01R.1850.01	0	0.063072751	0.17344064	0.209852611	0	0.167652038
TCGA.19.5960.01A.11R.1850.01	0.14876348	0.016929247	0.241916457	0.049302267	0.070158485	0.167994269
TCGA.06.2570.01A.01R.1849.01	0.383533393	0.036311178	0.057105319	0.180973247	0.038634588	0.284503394
